timestamp,groundSteering,groundTruth
1584543153026567,-0.073,0
1584543153527171,0.039,-0
1584543153627059,0.039,-0
1584543153726937,0.039,-0
1584543153824849,0.039,-0
1584543153924685,0.04,-0
1584543154024633,0.04,0.0150029
1584543154125140,0.04,0.0749791
1584543154226883,0.039,0.0749791
1584543154324615,0.039,0.0659773
1584543154427245,0.039,0.0659773
1584543154524661,0.039,0.0629856
1584543154625490,0.039,0.0659773
1584543154726542,0.039,0.0659773
1584543154824699,0.039,0.0659773
1584543154924791,0.039,0.0659773
1584543155024622,0.039,0.0659773
1584543155124660,0.038,0.0659773
1584543155230154,0.033,0.0659773
1584543155324559,0.028,0.0659773
1584543155424526,0.021,0.0239958
1584543155524320,0.008,-0
1584543155625483,0.009,-0
1584543155726937,-0.002,-0
1584543155824256,-0.003,-0
1584543155924467,-0.004,-0
1584543156027088,-0.005,-0
1584543156124496,-0.007,-0
1584543156226583,-0.017,-0
1584543156324612,-0.028,-0
1584543156425245,-0.004,-0
1584543156524355,-0.302,-0
1584543156624896,-0.227,-0
1584543156726057,-0.235,-0
1584543156827240,-0.241,-0
1584543156924110,-0.249,-0
1584543157024046,-0.258,-0
1584543157124190,-0.026,-0
1584543157225964,-0.033,-0
1584543157323968,-0.051,-0
1584543157424131,0.03,-0
1584543157523936,0.022,-0
1584543157624792,-0.047,-0
1584543157726186,-0.06,-0
1584543157823950,-0.052,-0
1584543157923955,-0.052,-0
1584543158024150,-0.073,-0
1584543158123962,-0.073,-0.0329798
1584543158225965,0.311,-0.0809625
1584543158324029,0.221,-0.0809625
1584543158423960,0.236,-0.0809625
1584543158523887,0.236,-0.0809625
1584543158625049,0.206,-0.0809625
1584543158725863,0.233,-0.0809625
1584543158823937,0.233,-0.0809625
1584543158923935,0.133,-0.0809625
1584543159023732,0.221,-0.0809625
1584543159123900,0.221,-0.0809625
1584543159226086,0.294,-0.0809625
1584543159323608,0.294,-0.0779708
1584543159424094,0.212,-0.0809625
1584543159523941,0.212,-0.0809625
1584543159624597,0.286,-0.0899643
1584543159725498,0.313,-0.0899643
1584543159823916,0.189,-0.0929649
1584543159923893,0.189,-0.0989571
1584543160023702,0.23,-0.0989571
1584543160123880,0.23,-0.113951
1584543160225528,0.23,-0.152941
1584543160323703,0.152,-0.155942
1584543160426724,0.175,-0.167935
1584543160523644,0.175,-0.218918
1584543160624063,0.278,-0.248906
1584543160726031,0.278,-0.245906
1584543160823369,0.138,-0.215918
1584543160923305,0.169,-0.179929
1584543161023901,0.169,-0.182929
1584543161123679,0.169,-0.170936
1584543161230099,-0.143,-0.0929649
1584543161324087,-0.099,-0
1584543161423220,-0.065,-0
1584543161523282,-0.039,-0
1584543161624367,0.013,0.0749791
1584543161725378,0.003,0.0599851
1584543161823435,0.017,-0
1584543161923272,-0.056,-0
1584543162023121,0.017,-0
1584543162123252,0.021,-0
1584543162225450,0.01,-0
1584543162323322,0.01,-0
1584543162423001,-0.013,-0
1584543162523582,0.002,-0
1584543162623600,-0.02,-0
1584543162725145,0.092,-0
1584543162823317,-0.001,-0
1584543162922881,-0.012,-0
1584543163022852,-0.021,-0
1584543163123027,-0.008,-0
1584543163225186,-0.017,-0
1584543163322807,-0.032,-0
1584543163422946,-0.026,-0
1584543163522727,0.045,-0
1584543163623407,0.068,-0
1584543163725035,-0.038,-0
1584543163822699,-0.048,-0
1584543163922666,-0.052,-0
1584543164022820,-0.047,-0
1584543164125310,-0.069,-0
1584543164230181,-0.064,-0
1584543164323081,-0.01,-0
1584543164422577,0.007,-0
1584543164522551,0.017,-0
1584543164623376,0.006,-0
1584543164724669,0.041,-0.00899288
1584543164822515,-0.097,-0.0329798
1584543164922664,-0.102,-0
1584543165022455,-0.026,-0
1584543165122525,-0.013,-0
1584543165224889,-0.012,-0
1584543165322466,0.016,-0
1584543165422395,0.014,-0
1584543165522665,0.014,-0
1584543165623109,-0.046,-0
1584543165728985,-0.044,-0
1584543165822549,-0.048,-0
1584543165922304,-0.045,-0
1584543166022267,-0.052,-0
1584543166122506,-0.048,-0
1584543166224484,-0.052,-0
1584543166322485,-0.067,-0
1584543166422565,-0.003,-0
1584543166525138,-0,-0
1584543166626262,-0.022,-0
1584543166725755,-0.056,-0.0239869
1584543166822204,-0.08,-0
1584543166922442,-0.058,-0
1584543167022669,-0.017,-0
1584543167122301,-0.017,-0
1584543167224209,-0.076,-0
1584543167322854,-0.068,-0
1584543167422067,-0.053,-0
1584543167522071,-0.053,-0.00299171
1584543167622945,-0.053,-0.137947
1584543167725298,-0.053,-0.131946
1584543167822154,-0.087,-0.131946
1584543167922114,-0.05,-0.131946
1584543168021936,-0.05,-0.131946
1584543168124766,-0.05,-0.122953
1584543168224773,-0.054,-0.122953
1584543168321937,0.001,-0.122953
1584543168422194,-0.21,-0.122953
1584543168522063,-0.097,-0.122953
1584543168622776,-0.061,-0.122953
1584543168724343,-0.008,-0.122953
1584543168822071,-0.008,-0.14994
1584543168922030,-0.008,-0.200924
1584543169021928,-0.036,-0.209925
1584543169122362,-0.178,-0.200924
1584543169224065,-0.151,-0
1584543169321904,-0.141,-0
1584543169422125,-0.079,-0
1584543169521871,-0.02,-0
1584543169625544,-0.023,-0
1584543169724795,0.03,-0.125954
1584543169821630,0.02,-0.125954
1584543169921651,-0.125,-0
1584543170021694,-0.119,-0
1584543170121665,-0.103,-0
1584543170223659,-0.11,-0
1584543170321820,-0.11,-0
1584543170424400,-0.06,-0
1584543170524693,-0.048,-0.0989571
1584543170622671,-0.043,-0.0839631
1584543170723513,-0.011,-0
1584543170821443,0.041,-0
1584543170921629,-0.059,-0
1584543171021362,-0.057,-0
1584543171121331,-0.062,-0
1584543171223556,-0.05,-0
1584543171321311,-0.043,-0
1584543171421385,-0.04,-0
1584543171521948,-0.052,-0
1584543171622053,-0.026,-0
1584543171723503,0.063,-0.00899288
1584543171821523,0.091,-0
1584543171921462,0.087,-0
1584543172021257,0.083,-0
1584543172121341,0.078,-0
1584543172223223,0.072,-0
1584543172321124,0.065,-0
1584543172421305,0.055,-0
1584543172521101,0.043,-0
1584543172621673,-0.031,-0
1584543172723294,-0.052,-0
1584543172821063,0.068,-0
1584543172920946,0.063,-0
1584543173021183,0.024,-0
1584543173120899,0.028,0.161943
1584543173223060,0.018,0.188939
1584543173321119,-0.014,-0
1584543173420890,0.002,-0
1584543173524239,-0.081,-0
1584543173621860,-0.065,-0
1584543173723554,-0.062,-0
1584543173820762,-0.062,-0.104958
1584543173921092,-0.062,-0
1584543174020807,0.008,-0
1584543174120779,-0.104,-0.125954
1584543174222990,-0.092,-0.122953
1584543174323784,-0.092,-0.116952
1584543174420641,-0.092,-0.0989571
1584543174520794,-0.126,-0.0779708
1584543174621714,-0.1,-0.0779708
1584543174722903,-0.1,-0.0779708
1584543174820805,-0.1,-0.0779708
1584543174920746,-0.126,-0.0779708
1584543175021081,-0.126,-0.0779708
1584543175123766,-0.07,-0.014994
1584543175223100,-0.028,-0
1584543175320656,-0.119,-0
1584543175420814,-0.119,-0
1584543175520444,-0.119,-0.116952
1584543175621161,-0.089,-0.0689691
1584543175722754,-0.089,-0
1584543175820398,-0.007,-0
1584543175920619,-0.157,-0
1584543176020691,-0.157,-0.0119935
1584543176120545,-0.15,-0.0119935
1584543176222857,-0.144,-0.122953
1584543176320527,-0.144,-0.140948
1584543176420267,-0.291,-0.0599762
1584543176520465,-0.291,-0.116952
1584543176624285,-0.291,-0.287896
1584543176722994,-0.291,-0.290888
1584543176820412,-0.18,-0.290888
1584543176920366,-0.147,-0.290888
1584543177020677,-0.195,-0.290888
1584543177120259,-0.195,-0.251907
1584543177222172,-0.136,-0.00299171
1584543177320166,-0.136,-0
1584543177423233,-0.118,-0.158942
1584543177520823,-0.02,-0.0899643
1584543177620773,-0.115,-0
1584543177721941,-0.06,-0
1584543177820558,-0.048,-0.116952
1584543177919971,0.008,-0.113951
1584543178019932,-0.066,-0
1584543178120339,-0.027,-0.0209863
1584543178225735,-0.09,-0.278895
1584543178320288,-0.096,-0.254908
1584543178420260,-0.051,-0
1584543178520023,-0.033,-0
1584543178620489,-0.013,-0
1584543178721862,-0.011,-0
1584543178820087,-0.016,-0
1584543178920692,-0.041,-0
1584543179019919,-0.036,-0.0599762
1584543179119704,-0.029,-0
1584543179221614,-0.018,-0
1584543179319866,0.004,-0
1584543179419918,-0.002,-0
