timestamp,groundSteering,groundTruth
1584543401679196,-0.117,-0
1584543401776777,-0.117,-0
1584543401876734,-0.117,-0
1584543401977398,-0.117,-0.014994
1584543402077358,-0.117,-0.014994
1584543402179635,-0.117,-0.014994
1584543402276515,-0.117,-0.014994
1584543402379030,-0.117,-0.014994
1584543402477580,-0.117,-0.0179858
1584543402577043,-0.119,-0.0179858
1584543402678372,-0.12,-0.0179858
1584543402776612,-0.115,-0.0179858
1584543402876520,-0.115,-0.0179858
1584543402976657,-0.064,-0.014994
1584543403076847,-0.044,-0.014994
1584543403178710,-0.036,-0.0179858
1584543403276317,-0.024,-0.0209863
1584543403376436,-0.007,-0.0209863
1584543403476276,0.021,-0.0209863
1584543403576878,-0.091,-0.0209863
1584543403678345,-0.091,-0.0209863
1584543403776207,-0.09,-0.0209863
1584543403876220,-0.089,-0.0209863
1584543403976735,-0.022,-0.0209863
1584543404076539,-0.009,-0.0209863
1584543404178470,0.011,-0.0209863
1584543404276278,0.043,-0.0209863
1584543404376139,-0.033,-0.0209863
1584543404476661,-0.021,-0.0209863
1584543404576891,-0.013,-0.0209863
1584543404678060,0.001,-0.0209863
1584543404776011,0.009,-0.0209863
1584543404876257,-0.031,-0.0209863
1584543404976332,-0.022,-0.0209863
1584543405075953,-0.015,-0.0239869
1584543405178436,-0.078,-0.0239869
1584543405276125,-0.072,-0.0359804
1584543405376138,-0.056,-0.0719696
1584543405476129,-0.033,-0.0719696
1584543405576852,0.001,-0.0719696
1584543405677652,-0.081,-0.0719696
1584543405776443,-0.053,-0.0719696
1584543405875834,-0.015,-0.0719696
1584543405975806,-0.102,-0.0719696
1584543406078633,-0.079,-0.0719696
1584543406177873,-0.05,-0.0719696
1584543406275741,-0.013,-0.0719696
1584543406375897,-0.198,-0.0719696
1584543406475694,-0.094,-0.116952
1584543406576420,-0.069,-0.116952
1584543406677838,-0.036,-0.116952
1584543406775743,-0.259,-0.164934
1584543406878612,-0.245,-0.179929
1584543406976092,-0.231,-0.179929
1584543407075683,-0.052,-0.218918
1584543407177703,-0.263,-0.251907
1584543407275899,-0.263,-0.191931
1584543407375504,-0.263,-0.173936
1584543407475486,-0.079,-0.176937
1584543407576361,-0.013,-0.155942
1584543407682219,-0.114,-0.0779708
1584543407776431,-0.054,-0
1584543407876197,0.008,-0
1584543407975406,0.065,0.0779797
1584543408075420,0.064,0.188939
1584543408177772,0.013,-0
1584543408275465,-0.043,-0
